ID;R;PD;PE;FD;ProtectedStatus;Clima;Ecorregion;PP_MM;TMED;logitude;latitude;CodRegion
20907;3;1.025004361;0.000793497;1.465946642;1;Temperate;Valdivian_forests;1800;6.5;-75.579986;-46.632546;11
20908;3;1.025004361;0.000793497;1.465946642;1;Temperate;Valdivian_forests;1800;6.5;-75.579986;-46.882546;11
20913;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.579986;-48.132546;11
20914;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.579986;-48.382546;11
20915;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.579986;-48.632546;11
20916;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.579986;-48.882546;12
20917;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.579986;-49.132546;12
20918;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.579986;-49.382546;12
20919;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.579986;-49.632546;12
20920;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.579986;-49.882546;12
20922;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.579986;-50.382546;12
20923;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.579986;-50.632546;12
21060;3;1.025004361;0.000793497;1.465946642;1;Temperate;Valdivian_forests;1800;6.5;-75.329986;-46.382546;11
21061;3;1.025004361;0.000793497;1.465946642;1;Temperate;Valdivian_forests;1800;6.5;-75.329986;-46.632546;11
21062;3;1.025004361;0.000793497;1.465946642;1;Temperate;Valdivian_forests;1800;6.5;-75.329986;-46.882546;11
21065;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.329986;-47.632546;11
21066;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.329986;-47.882546;11
21067;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.329986;-48.132546;11
21068;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.329986;-48.382546;11
21069;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.329986;-48.632546;12
21070;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.329986;-48.882546;12
21071;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.329986;-49.132546;12
21072;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.329986;-49.382546;12
21073;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.329986;-49.632546;12
21074;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.329986;-49.882546;12
21075;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.329986;-50.132546;12
21076;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.329986;-50.382546;12
21077;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.329986;-50.632546;12
21078;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.329986;-50.882546;12
21080;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.329986;-51.382546;12
21081;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;1800;6.5;-75.329986;-51.632546;12
21212;3;1.025004361;0.000793497;1.465946642;1;Temperate;Valdivian_forests;2100;9;-75.079986;-45.882546;11
21213;3;1.025004361;0.000793497;1.465946642;1;Temperate;Valdivian_forests;2100;9;-75.079986;-46.132546;11
21214;3;1.025004361;0.000793497;1.465946642;1;Temperate;Valdivian_forests;2100;9;-75.079986;-46.382546;11
21215;3;1.025004361;0.000793497;1.465946642;1;Temperate;Valdivian_forests;2100;9;-75.079986;-46.632546;11
21216;2;0.903153831;0.000698084;0.806397415;1;Temperate;Valdivian_forests;1800;6.5;-75.079986;-46.882546;11
21219;2;1.271956271;0.001148226;1.548956474;1;Temperate;Magellanic_forests;2100;9;-75.079986;-47.632546;11
21220;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;2100;9;-75.079986;-47.882546;11
21221;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;2100;9;-75.079986;-48.132546;11
21222;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;2100;9;-75.079986;-48.382546;11
21223;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;2100;9;-75.079986;-48.632546;12
21224;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;2100;9;-75.079986;-48.882546;12
21225;1;0.460021701;0.000353558;0;1;Temperate;Magellanic_forests;2100;9;-75.079986;-49.132546;12
