ID;SR;PD.obs;PD.SES;PD.Pvalue;FD.obs;FD.SES;FD.Pvalue;PE.obs;PE.SES;PE.Pvalue;Protegido;Clima;Ecorregion;Climate;Ecoregion;PP_MM;TMED;ALT_MIN;ALT_MAX;long;lat;codregion
39;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2500;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17621;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17622;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18054;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18208;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18699;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18853;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20763;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20907;3;1.025004361;-0.436358778;0.396;0.763409577;-0.495036559;0.382;0.000793497;-2.15396089;0.971971972;1;2;5;Templado;Bosque_Valdiviano;1800;6.5;50;1600;-75.579986;-46.632546;11
20908;3;1.025004361;-0.417146508;0.4025;0.763409577;-0.496923361;0.3765;0.000793497;-2.15396089;0.971971972;1;2;5;Templado;Bosque_Valdiviano;1800;6.5;50;1600;-75.579986;-46.882546;11
20912;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20913;1;0.460021701;-0.351491874;0.4395;0.455722438;NA;0.5005;0.000353558;-1.940788782;0.970970971;1;2;6;Templado;Bosque_Maguellanico;1800;6.5;50;1600;-75.579986;-48.132546;11
20914;1;0.460021701;-0.326778718;0.4455;0.455722438;NA;0.5005;0.000353558;-1.940788782;0.970970971;1;2;6;Templado;Bosque_Maguellanico;1800;6.5;50;1600;-75.579986;-48.382546;11
20915;1;0.460021701;-0.322882373;0.449;0.455722438;NA;0.5005;0.000353558;-1.940788782;0.970970971;1;2;6;Templado;Bosque_Maguellanico;1800;6.5;50;1600;-75.579986;-48.632546;11
20916;1;0.460021701;-0.314589892;0.45;0.455722438;NA;0.5005;0.000353558;-1.940788782;0.970970971;1;2;6;Templado;Bosque_Maguellanico;1800;6.5;50;1600;-75.579986;-48.882546;12
20917;1;0.460021701;-0.34435442;0.4405;0.455722438;NA;0.5005;0.000353558;-1.940788782;0.970970971;1;2;6;Templado;Bosque_Maguellanico;1800;6.5;50;1600;-75.579986;-49.132546;12
20918;1;0.460021701;-0.313322651;0.4505;0.455722438;NA;0.5005;0.000353558;-1.940788782;0.970970971;1;2;6;Templado;Bosque_Maguellanico;1800;6.5;50;1600;-75.579986;-49.382546;12
20919;1;0.460021701;-0.310776198;0.4515;0.455722438;NA;0.5005;0.000353558;-1.940788782;0.970970971;1;2;6;Templado;Bosque_Maguellanico;1800;6.5;50;1600;-75.579986;-49.632546;12
20920;1;0.460021701;-0.322088815;0.448;0.455722438;NA;0.5005;0.000353558;-1.940788782;0.970970971;1;2;6;Templado;Bosque_Maguellanico;1800;6.5;50;1600;-75.579986;-49.882546;12
20921;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20922;1;0.460021701;-0.316310359;0.4505;0.455722438;NA;0.5005;0.000353558;-1.940788782;0.970970971;1;2;6;Templado;Bosque_Maguellanico;1800;6.5;50;1600;-75.579986;-50.382546;12
20923;1;0.460021701;-0.334179225;0.443;0.455722438;NA;0.5005;0.000353558;-1.940788782;0.970970971;1;2;6;Templado;Bosque_Maguellanico;1800;6.5;50;1600;-75.579986;-50.632546;12
21054;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
21060;3;1.025004361;-0.435040105;0.395;0.763409577;-0.493131703;0.386;0.000793497;-2.15396089;0.971971972;1;2;5;Templado;Bosque_Valdiviano;1800;6.5;50;1600;-75.329986;-46.382546;11
21061;3;1.025004361;-0.432178784;0.3935;0.763409577;-0.48041761;0.3815;0.000793497;-2.15396089;0.971971972;1;2;5;Templado;Bosque_Valdiviano;1800;6.5;50;1600;-75.329986;-46.632546;11
21062;3;1.025004361;-0.47168657;0.383;0.763409577;-0.465350898;0.392;0.000793497;-2.15396089;0.971971972;1;2;5;Templado;Bosque_Valdiviano;1800;6.5;50;1600;-75.329986;-46.882546;11
21065;1;0.460021701;-0.318081375;0.4485;0.455722438;NA;0.5005;0.000353558;-1.940788782;0.970970971;1;2;6;Templado;Bosque_Maguellanico;1800;6.5;50;1600;-75.329986;-47.632546;11
21066;1;0.460021701;-0.314740764;0.45;0.455722438;NA;0.5005;0.000353558;-1.940788782;0.970970971;1;2;6;Templado;Bosque_Maguellanico;1800;6.5;50;1600;-75.329986;-47.882546;11
21067;1;0.460021701;-0.360619108;0.4375;0.455722438;NA;0.5005;0.000353558;-1.940788782;0.970970971;1;2;6;Templado;Bosque_Maguellanico;1800;6.5;50;1600;-75.329986;-48.132546;11
